Order_type|Inbound_order|Inbound_item|Store_id|StorageLocation|ItemCode|Qty|UOM|PO_NUMBER|PO_ITEM|DELIV_DATE|HEADER_TEXT|ITEM_TEXT|VBN|MANU_DATE|EXPR_DATE|Remarks1|Remarks2|Remarks3
O|0180178533|000010|0056|0001|17018181|4|PC|2000051713|000010|20210417||||||||
O|0180178533|000020|0056|0001|17230213|4|PC|2000051713|000020|20210417||||||||
O|0180178533|000030|0056|0001|19230252|4|PC|2000051713|000030|20210417||||||||
O|0180178533|000040|0056|0001|19230727|2|PC|2000051713|000040|20210417||||||||
O|0180178533|000050|0056|0001|19250272|2|PC|2000051713|000050|20210417||||||||
O|0180178533|000060|0056|0001|19250275|2|PC|2000051713|000060|20210417||||||||
O|0180178533|000070|0056|0001|19250362|2|PC|2000051713|000070|20210417||||||||
O|0180178533|000080|0056|0001|19250363|6|PC|2000051713|000080|20210417||||||||
O|0180178533|000090|0056|0001|19268038|6|PC|2000051713|000090|20210417||||||||
O|0180178533|000100|0056|0001|19940042|6|PC|2000051713|000100|20210417||||||||
O|0180178533|000110|0056|0001|19940043|6|PC|2000051713|000110|20210417||||||||
O|0180178533|000120|0056|0001|20160074|4|PC|2000051713|000120|20210417||||||||
O|0180178533|000130|0056|0001|20260081|4|PC|2000051713|000130|20210417||||||||
O|0180178533|000140|0056|0001|20260082|2|PC|2000051713|000140|20210417||||||||
O|0180178533|000150|0056|0001|20260084|2|PC|2000051713|000150|20210417||||||||
O|0180178533|000160|0056|0001|20260085|2|PC|2000051713|000160|20210417||||||||
